Name,꿀 팁 표시,날짜,목차,상태,작성일시
,,,,,2022년 6월 25일 오전 1:07
"1일차 확장 프로그램, 단축키 ",,,"확장 프로그램, 단축키 세팅",HTML,2022년 6월 24일 오후 11:40
2일차 html5 기본구조,❤노랑 배경글,,"charset, 제목요소, 엔티티코드, 문단요소, 주소요소, 텍스트 관련 태그",HTML,2022년 6월 24일 오후 11:54
"3일차 html a태그, 이미지",❤ 노랑 배경글,,"a 태그, 이미지",HTML,2022년 6월 24일 오후 11:40
4일차 html 경로,❤ 노랑 배경글,,경로,HTML,2022년 6월 24일 오후 11:40
"5일차 list, figure, 이미지맵, usemap, map, area, header, section",❤ 노랑 배경글,,"list, dl, figure, header, section, 이미지 맵, usemap, map, area",HTML,2022년 6월 24일 오후 11:40
"6일차 네임앵커, table",❤ 노랑 배경글,,"네임 앵커, table",HTML,2022년 6월 24일 오후 11:40
"7일차 table 접근성 scope, form 요소, input 태그의 type(text, password, search, email, tel, color, number, range, radio, checkbox), 속성(value, name, id까지)",❤ 노랑 배경글,,"table 접근성 scope, form 요소(action, method), input 태그의 type 속성",HTML,2022년 6월 25일 오전 12:25
"8일차 form 속성 submit, reset, button, image, file & value 응용, textarea, select, selected",❤ 노랑 배경글,,"8일차 form 속성 submit, reset, button, image, file & value 응용, select, selected, textarea ",HTML,2022년 6월 29일 오후 9:07
"9일차 form url, 달력 / 속성 placeholder, value 차이 autocomplete, pattern, multiple, disabled, readonly /   웹 사이트 구조요소 header, section, fooer",❤ 노랑 배경글,,"url, 달력 / 속성 placeholder, value 차이 autocomplete, pattern, multiple, disabled, readonly /   웹 사이트 구조요소 header, section, fooer",HTML,2022년 6월 29일 오후 9:07
"10일차 audio, video, track, iframe 태그 (마지막)",❤ 노랑 배경글,,"audio, video, iframe 태그",HTML,2022년 7월 4일 오후 10:49
"0일차 class, border",,,,CSS,2022년 6월 29일 오전 12:02
"1일차 CSS 문법 / 내부 외부 스타일 import, 인라인 스타일 / 선택자",❤ 노랑 배경글,,"CSS 문법 / 내부 외부 스타일 import, 인라인 스타일 / 선택자",CSS,2022년 7월 5일 오후 9:28
"2일차 / 속성선택자, 속성선택자 지정하기, 가상 선택자(link, visited, hover, active, focus / 속성 tabindex0 -1), 가상요소선택자, nth-of-type, 우선순위",❤ 노랑 배경글,,"속성선택자, 속성선택자 지정하기, 가상선택자, 가상요소선택자, nth-of-type, 우선순위",CSS,2022년 7월 6일 오후 9:12
"3일차 font / css(em, vh, vw)단위",❤ 노랑 배경글,,,CSS,2022년 7월 6일 오후 9:29
